ID;IdCliente;FechaRecepcion;IdTipoEquipo;RAM;PlacaMadre;MarcaModelo;Microprocesador;Almacenamiento;UnidadOptica;Alimentacion;Adicionales;NumSerie;IdTipoServicio;Descripcion;CostoRepuestos;CostoTerceros;CostoCG;CostoTotal;FechaDevolucion;Ganancia;Estado
1;2;28/6/2017 00:00:00;1;-;-;Dell Optiplex GX-280;-;-;-;-;-;-;3;Backup y formateo;0.0000;0.0000;500.0000;500.0000;30/6/2017 00:00:00;500.0000;True;
2;35;16/9/2017 00:00:00;3;-;-;Acer Aspire 3100;-;-;-;-;-;-;3;Backup y formateo;0.0000;0.0000;300.0000;300.0000;16/9/2017 00:00:00;300.0000;True;
3;36;20/9/2017 00:00:00;3;-;-;Admiral FU43N;-;-;-;-;-;-;3;Backup y formateo;0.0000;0.0000;300.0000;300.0000;20/9/2017 00:00:00;300.0000;True;
4;13;6/10/2017 00:00:00;3;-;-;Lenovo T410;-;-;-;-;-;-;3;Limpieza de suciedad general interna y externa.;0.0000;0.0000;200.0000;200.0000;7/10/2017 00:00:00;200.0000;True;
5;13;13/10/2017 00:00:00;4;-;-;Coradir Class;-;-;-;-;-;-;3;Formateo con instalación de S.O. Windows 7 x64 bits y programas conectar igualdad.;740.0000;0.0000;450.0000;1190.0000;13/10/2017 00:00:00;450.0000;True;
6;47;22/6/2018 00:00:00;6;-;-;EPSON L355;-;-;-;-;-;-;3;Cabezal deformado y tintas no originales.;0.0000;3500.0000;1000.0000;4500.0000;19/7/2018 00:00:00;1000.0000;True;
7;13;23/7/2018 00:00:00;3;-;-;HP M7 Smart Touch;-;-;-;-;-;-;3;Recupero de BIOS, formateo con backup y reparación de bisagras de pantalla.;0.0000;1800.0000;700.0000;2500.0000;9/8/2018 00:00:00;700.0000;True;
8;30;28/7/2018 00:00:00;1;-;-;Máxima;-;-;-;-;-;-;3;Formateo c/Backup;0.0000;0.0000;600.0000;600.0000;31/7/2018 00:00:00;600.0000;True;
9;30;28/7/2018 00:00:00;4;-;-;BGH Schoolmate 15TV;-;-;-;-;-;-;3;Cambio de pila.;135.0000;0.0000;465.0000;600.0000;6/8/2018 00:00:00;465.0000;True;
10;30;6/8/2018 00:00:00;1;-;-;Blanco;-;-;-;-;-;-;3;Limpieza de suciedad intern y externa, y remover arranque duplicado.;0.0000;0.0000;200.0000;200.0000;6/8/2018 00:00:00;200.0000;True;
